Year,Country,log_GDP,Misallignment,Residual
1990,12,8.05424,-0.132852,-0.0744834
1991,12,8.11839,-0.125469,-0.011205
1992,12,8.17741,-0.195178,0.0560438
1993,12,8.24626,-0.205663,0.126131
1994,12,8.30906,-0.265274,0.1959683
1995,12,8.37743,-0.30365,0.2688683
1996,12,8.44726,-0.330864,0.3419106
1997,12,8.49252,-0.282042,0.3814079
1998,12,8.39117,-0.03524,0.2509234
1999,12,8.42685,0.003761,0.2820003
2000,12,8.48918,-0.001669,0.3449705
2001,12,8.47321,-0.040173,0.3335464
2002,12,8.50581,-0.015609,0.3632462
2003,12,8.54311,0.025015,0.3957509
2004,12,8.59031,0.05297,0.4396511
2005,12,8.6241,0.07855,0.4704211
2006,12,8.66051,0.082917,0.5063161
2007,12,8.70395,0.04953,0.553697
2008,12,8.73382,0.076178,0.5804214
2009,12,8.70167,0.131494,0.5417414
2010,12,8.75686,0.069997,0.6041909
2011,12,8.79245,0.055739,0.6414641
2012,12,8.83014,0.05298,0.6794799
2013,12,8.86104,0.043487,0.7115005
2014,12,8.90453,0.069524,0.7519165
1970,13,8.46096,-0.48789,-0.3070037
1971,13,8.46593,-0.603392,-0.2883949
1972,13,8.51276,-0.706847,-0.2293524
1973,13,8.55645,-0.77135,-0.1780494
1974,13,8.58155,-0.815109,-0.1477822
1975,13,8.6077,-0.935792,-0.1073912
1976,13,8.62262,-0.854077,-0.102117
1977,13,8.6289,-0.525052,-0.1346721
1978,13,8.68879,-0.697077,-0.0544794
1979,13,8.75648,-0.959507,0.0441872
1980,13,8.82082,-1.25741,0.1436953
1981,13,8.88181,-1.55035,0.2392666
1982,13,8.85325,-0.920117,0.1363096
1983,13,8.78877,-0.191073,-0.0142303
1984,13,8.80304,-0.169284,-0.0025326
1985,13,8.80771,-0.145709,-0.0006453
1986,13,8.74876,0.529578,-0.1393091
1987,13,8.74669,1.35855,-0.239235
1988,13,8.73877,1.81668,-0.301236
1989,13,8.75968,1.31543,-0.2211556
1990,13,8.78897,0.969936,-0.1510814
1991,13,8.81023,0.64712,-0.0917144
1992,13,8.8259,0.283493,-0.0331202
1993,13,8.84596,-0.116363,0.0341404
1994,13,8.87279,-0.436449,0.0987558
1995,13,8.79463,0.169841,-0.050974
1996,13,8.83331,0.323745,-0.0304616
1997,13,8.88265,0.273625,0.024795
1998,13,8.91132,0.32737,0.04712
1999,13,8.92137,0.499027,0.0369066
2000,13,8.95786,0.395104,0.0856646
2001,13,8.93797,0.285658,0.0786944
2002,13,8.92653,0.251845,0.0712456
2003,13,8.92832,0.318327,0.0651878
2004,13,8.95765,0.325482,0.0936735
2005,13,8.97385,0.248169,0.1189999
2006,13,9.00733,0.208434,0.1571701
2007,13,9.02342,0.182829,0.1762831
2008,13,9.02105,0.174907,0.1748483
2009,13,8.95655,0.361652,0.0883032
2010,13,8.99193,0.263389,0.135283
2011,13,9.01575,0.195897,0.16707
2012,13,9.04127,0.200373,0.1920619
2013,13,9.04154,0.115495,0.2023512
2014,13,9.05039,0.100896,0.2129247
1970,14,6.71646,0.306272,-0.301319
1971,14,6.74052,0.433185,-0.2922402
1972,14,6.76482,0.445762,-0.2694256
1973,14,6.82166,0.490402,-0.2178547
1974,14,6.82823,0.534009,-0.2164306
1975,14,6.85427,0.451587,-0.18067
1976,14,6.91082,0.3462,-0.1116734
1977,14,6.93771,0.252139,-0.0736826
1978,14,6.96066,0.173522,-0.0414501
1979,14,6.98809,0.109582,-0.0064685
1980,14,7.01086,-0.018723,0.0314425
1981,14,7.01708,-0.16175,0.054546
1982,14,7.02524,-0.307513,0.0799126
1983,14,7.01649,-0.220862,0.060934
1984,14,6.91324,0.272349,-0.1005372
1985,14,6.81032,0.262638,-0.2023109
1986,14,6.81703,0.184218,-0.1863437
1987,14,6.83256,0.037894,-0.1535408
1988,14,6.87153,0.001491,-0.1102736
1989,14,6.90579,-0.059219,-0.0688473
1990,14,6.91026,-0.059154,-0.0643846
1991,14,6.87955,0.042502,-0.1070949
1992,14,6.85852,-0.107778,-0.110385
1993,14,6.85553,-0.136021,-0.1100413
1994,14,6.87497,-0.280351,-0.0735636
1995,14,6.89758,-0.350475,-0.0426757
1996,14,6.93172,-0.422997,0.0000249
1997,14,6.96005,-0.430117,0.0291956
1998,14,6.93242,-0.197438,-0.0259013
1999,14,6.94119,-0.213036,-0.01529
2000,14,6.96299,-0.168629,0.001268
2001,14,6.97029,-0.112808,0.001979
2002,14,6.9851,-0.157755,0.0220944
2003,14,7.01318,-0.134091,0.0473809
2004,14,7.05862,-0.10288,0.0891368
2005,14,7.08719,-0.103481,0.117778
2006,14,7.12158,-0.152203,0.1579192
2007,14,7.1701,-0.237041,0.216454
2008,14,7.19593,-0.189776,0.2367045
2009,14,7.19257,-0.057693,0.2177529
2010,14,7.25099,-0.052504,0.2755601
2011,14,7.27134,-0.016618,0.291674
2012,14,7.32012,-0.005002,0.3390826
2013,14,7.37224,0.016293,0.3886891
2014,14,7.41582,0.095871,0.4228754
